datetime;gas_rate_fact;gas_rate_plan;gas_rate_v1;gas_rate_v2;gas_rate_v3;
2025-03-08 00:00:00;74021.2594488843;74021.2594488843;;;;
2025-03-08 00:10:00;73320.1999336081;73320.1999336081;;;;
2025-03-08 00:20:00;74164.3104858902;74164.3104858902;;;;
2025-03-08 00:40:00;73197.7499844002;73197.7499844002;;;;
2025-03-08 00:50:00;73231.8993546216;73231.8993546216;;;;
2025-03-08 01:00:00;75228.813583391;75228.813583391;;;;
2025-03-08 01:10:00;72987.7001634982;72987.7001634982;;;;
2025-03-08 01:20:00;76380.4747529212;76380.4747529212;;;;
2025-03-08 01:30:00;76209.9948254756;76209.9948254756;;;;
2025-03-08 01:40:00;73596.3985244809;73596.3985244809;;;;
2025-03-08 01:50:00;75573.2805498586;75573.2805498586;;;;
2025-03-08 02:00:00;74555.0246411802;74555.0246411802;;;;
2025-03-08 02:10:00;74313.6898071824;74313.6898071824;;;;
2025-03-08 02:20:00;72847.329505912;72847.329505912;;;;
2025-03-08 02:30:00;74652.3629616497;74652.3629616497;;;;
2025-03-08 02:40:00;72110.8304058712;72110.8304058712;;;;
2025-03-08 02:50:00;72712.089945058;72712.089945058;;;;
2025-03-08 03:00:00;74891.26785908;74891.26785908;;;;
2025-03-08 03:10:00;73091.6168635167;73091.6168635167;;;;
2025-03-08 03:20:00;74117.6967341134;74117.6967341134;;;;
2025-03-08 03:30:00;72696.8930877231;72696.8930877231;;;;
2025-03-08 03:40:00;73356.2569059175;73356.2569059175;;;;
2025-03-08 03:50:00;73607.6791134398;73607.6791134398;;;;
2025-03-08 04:00:00;74494.9961075568;74494.9961075568;;;;
2025-03-08 04:10:00;73561.5617225916;73561.5617225916;;;;
2025-03-08 04:20:00;72621.8736705875;72621.8736705875;;;;
2025-03-08 04:30:00;74254.3183892936;74254.3183892936;;;;
2025-03-08 04:40:00;74102.8477228215;74102.8477228215;;;;
2025-03-08 04:50:00;75804.7463500781;75804.7463500781;;;;
2025-03-08 05:00:00;73504.9748605544;73504.9748605544;;;;
2025-03-08 05:10:00;74133.1574318251;74133.1574318251;;;;
2025-03-08 05:20:00;73202.1970333361;73202.1970333361;;;;
2025-03-08 05:30:00;73822.8493969232;73822.8493969232;;;;
2025-03-08 05:40:00;74586.8357017217;74586.8357017217;;;;
2025-03-08 05:50:00;75917.9575176343;75917.9575176343;;;;
2025-03-08 06:00:00;73276.3988316447;73276.3988316447;;;;
2025-03-08 06:10:00;73756.7931997085;73756.7931997085;;;;
2025-03-08 06:20:00;73406.2906261575;73406.2906261575;;;;
2025-03-08 06:30:00;74102.0153643746;74102.0153643746;;;;
2025-03-08 06:40:00;71962.7343009432;71962.7343009432;;;;
2025-03-08 06:50:00;72664.9140604344;72664.9140604344;;;;
2025-03-08 07:00:00;74632.864922647;74632.864922647;;;;
2025-03-08 07:10:00;74669.9978048035;74669.9978048035;;;;
2025-03-08 07:20:00;74201.2539915263;74201.2539915263;;;;
2025-03-08 07:30:00;72822.5355735601;72822.5355735601;;;;
2025-03-08 07:40:00;73267.5298806592;73267.5298806592;;;;
2025-03-08 07:50:00;73000.4035701845;73000.4035701845;;;;
2025-03-08 08:00:00;72741.4518317834;72741.4518317834;;;;
2025-03-08 08:10:00;72549.4692900328;72549.4692900328;;;;
2025-03-08 08:20:00;74255.8444022451;74255.8444022451;;;;
2025-03-08 08:30:00;73164.1649610306;73164.1649610306;;;;
